id,field,mngt_soil,transect,distance,type,nest_pa,nest_id,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay
A102,JaBu01,NT,0-1m,0,Control,0,NA,1.329342096924691,0.7015449734293183,3.45,6.04,34.12739513205593,44.536509580528225,21.336095287415848
A114,JaBu01,NT,5-6m,5,Control,0,NA,1.2562858660574476,0.676493107668395,3.73,6.44,44.94650462241612,39.056819362210454,15.99667601537343
A103,JaBu01,NT,10-11m,10,Control,0,NA,1.2812839524580373,0.6837269064116263,3.8,6.2,39.70893970893971,40.644490644490645,19.646569646569645
A98,JaBu01,NT,20-21m,20,Control,0,NA,1.2385737982785718,0.6532325072499763,3.68,5.82,44.97508305647842,31.97674418604651,23.04817275747508
A99,JaBu01,NT,30-31m,30,Control,0,NA,1.1941473878858433,0.6346727968654226,2.67,6.11,44.929620877427304,41.30278434192952,13.767594780643172
A97,JaBu01,NT,1-2m,1,Nest,1,JaBu01_FIT_1.1,1.35785157396393,0.7162944147655625,3.36,5.48,38.32781456953643,40.769867549668874,20.9023178807947
A105,SyPi01,CT,0-1m,0,Control,0,NA,1.1099609134587245,0.5976101935008349,4.52,6.52,39.25429409300377,39.589442815249264,21.15626309174696
A107,SyPi01,CT,5-6m,5,Control,0,NA,0.9815939272136325,0.5292700574826626,4.99,6.15,36.11198821176717,40.206294074307976,23.68171771392485
A106,SyPi01,CT,10-11m,10,Control,0,NA,1.0695252790762406,0.5609517358768346,3.76,5.63,34.53865336658354,39.9002493765586,25.561097256857856
A113,SyPi01,CT,20-21m,20,Control,0,NA,1.164003162272078,0.6127115989959401,3.17,5.45,37.93245894867294,41.619332851389025,20.448208199938037
A636,SyPi01,CT,30-31m,30,Control,0,NA,1.1694274369089586,0.6134708778105583,2.58,5.93,40.258673783617326,41.880517347567235,17.860808868815436
A645,SeCr01,CT,5-6m,5,Control,0,NA,1.0587690306968307,0.5705008683851905,3.7,6.39,53.7902388369678,30.633437175493253,15.576323987538942
A650,SeCr01,CT,10-11m,10,Control,0,NA,1.1961799622617684,0.6352551066760296,3.28,6.75,44.789081885856085,37.220843672456574,17.99007444168734
A634,SeCr01,CT,20-21m,20,Control,0,NA,1.1411101317737924,0.6083964269926713,2.49,6.41,50.364065224079575,38.14993334017024,11.486001435750179
A644,SeCr01,CT,30-31m,30,Control,0,NA,1.0694174058535497,0.565453344669252,2.9,6.79,45.417095777548916,37.48712667353244,17.095777548918644
A631,SeCr01,CT,0-1m,0,Nest,1,SeCr01_FIT_1.1,1.321685961834839,0.6974786837252092,2.74,6.27,53.732264034546574,29.50853382685585,16.759202138597573
A648,SeCr01,CT,0-1m,0,Nest,1,SeCr01_FIT_1.2,1.3433294412221315,0.7172451013097034,2.7,5.95,57.04008221993833,30.62692702980473,12.332990750256938
A641,SeCr01,CT,0-1m,0,Nest,1,SeCr01_FIT_1.4,1.3083897734158645,0.6945927314984128,3.54,5.67,45.676964544889074,34.52208169189301,19.800953763217915
A637,SeCr01,CT,1-2m,1,Nest,1,SeCr01_FIT_1.6,1.1764290495505816,0.6189517052128289,3.54,5.72,34.998963300850086,41.98631557122123,23.014721127928674
A633,SeCr01,CT,5-6m,5,Nest,1,SeCr01_FIT_1.8,1.1513334010455427,0.6183915012616126,3.62,6.17,46.35816559452169,37.45590371446358,16.185930691014732
A628,StTe05,NT,0-1m,0,Control,0,NA,1.139868822575108,0.6039668972165769,4.4,6.83,28.870292887029287,45.08368200836821,26.04602510460251
A625,StTe05,NT,5-6m,5,Control,0,NA,1.1518855185742891,0.6368339029821516,5.77,6.38,34.946407725777355,44.996285683964764,20.057306590257877
A630,StTe05,NT,10-11m,10,Control,0,NA,1.1499809489614223,0.6155744684300041,4.68,6.69,30.864456567352093,44.9013848090642,24.234158623583717
A624,StTe05,NT,20-21m,20,Control,0,NA,1.0991441706501646,0.594736392377218,5.46,6.6,29.7651787603131,44.74296594034271,25.491855299344195
A627,StTe05,NT,30-31m,30,Control,0,NA,1.131085152139252,0.596369599594627,3.63,6.41,32.13655701981945,45.034761855349174,22.82868112483138
S10,JoDe01,CT,0-1m,0,Control,0,NA,1.456816897121309,0.740659187302812,1.71,5.82,29.18913419472988,47.10550412045986,23.705361684810256
S2,JoDe01,CT,5-6m,5,Control,0,NA,1.4121791730740512,0.715493826993862,1.52,5.91,34.402924451665314,41.835905767668564,23.761169780666123
S3,JoDe01,CT,10-11m,10,Control,0,NA,1.4384211810610699,0.7387370257575285,1.35,5.86,37.55701976685251,44.804865686771414,17.638114546376073
S4,JoDe01,CT,20-21m,20,Control,0,NA,1.4499257117900386,0.7515106969897474,2.08,5.72,37.397875816993455,43.607026143790854,18.995098039215687
S5,JoDe01,CT,30-31m,30,Control,0,NA,1.4061209305968925,0.7291962189931865,2.16,6.18,35.60915780866721,45.07358953393295,19.317252657399834
S18,LuHe01,NT,0-1m,0,Control,0,NA,1.3446072721221272,0.7154577553088112,4.07,7.68,38.28833524444907,39.29948921088294,22.412175544667985
S19,LuHe01,NT,5-6m,5,Control,0,NA,1.4071616049214235,0.7368637617844974,2.92,7.66,37.16522455706634,42.130201895344044,20.704573547589618
S14,LuHe01,NT,10-11m,10,Control,0,NA,1.3764937200898117,0.7303076608617317,3.39,7.78,37.480592071214154,43.47376048028155,19.045647448504294
S24,LuHe01,NT,20-21m,20,Control,0,NA,1.4312727056428804,0.7520898052924117,4.02,7.72,31.02729735361533,42.40466763909148,26.568035007293187
